taxonomy_id,label,parent_ids,mapped_record_count,mapped_knowledge_ids,verified_count,conflict_count,human_review_count,potentially_outdated_count,durable_evidence_record_count,capture_open_record_count,referenced_source_gap_ids,authenticated_queue_resource_ids,readiness_class,coverage_basis,required_follow_up
TAX-BULK,"Bulk delivery, pickup, and transfer",TAX-FORGE,2,KNO-FORGE-BULK-001;KNO-FORGE-BULK-TRANSFER-001,0,0,2,0,2,0,REFSRC-022,MGB-NAV-0022,NO_VERIFIED_RECORDS,"The branch has mapped records, but none currently has VERIFIED status.","Resolve the listed source, authority, version, conflict, and capture dependencies before presenting this branch as approved guidance."
TAX-STOP-STRUCTURE,"Stop combining, splitting, merging, and revisiting",TAX-FORGE,9,KNO-FORGE-BULK-TRANSFER-001;KNO-FORGE-COMBINE-DELIVERY-001;KNO-FORGE-COMBO-STOP-001;KNO-FORGE-EDIT-ADDRESS-001;KNO-FORGE-MANIFEST-PREVIEW-001;KNO-FORGE-MANIFEST-SEARCH-001;KNO-FORGE-MERGE-PICKUP-001;KNO-FORGE-SPLIT-DELIVERY-001;KNO-FORGE-STATUS-SCOPE-001,2,0,3,4,9,0,REFSRC-022,MGB-NAV-0022,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-COMMENTS,Package and stop comments,TAX-FORGE,2,KNO-FORGE-BUSINESS-CLOSURE-MSG-001;KNO-FORGE-COMMENT-SCOPE-001,1,0,0,1,2,0,REFSRC-022,MGB-NAV-0022,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-BARCODE-ENTRY,Barcode scanning and manual entry,TAX-FORGE,3,KNO-FORGE-CAMERA-SCAN-001;KNO-FORGE-MANUAL-BARCODE-001;KNO-FORGE-MULTICODE-001,2,0,0,1,3,0,REFSRC-022,MGB-NAV-0022,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-EOD,End of day,TAX-FORGE,4,KNO-FORGE-DELAYED-LOGIN-001;KNO-FORGE-DOWNLOAD-SYNC-001;KNO-FORGE-EOD-001;KNO-FORGE-VEHICLE-CHANGE-001,1,0,2,1,4,0,REFSRC-022,MGB-NAV-0022;MGB-NAV-0084,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-VEHICLE-CHANGE,Vehicle changes and DVIR,TAX-EOD;TAX-DOT,1,KNO-FORGE-VEHICLE-CHANGE-001,0,0,1,0,1,0,REFSRC-022,MGB-NAV-0022;MGB-NAV-0084,NO_VERIFIED_RECORDS,"The branch has mapped records, but none currently has VERIFIED status.","Resolve the listed source, authority, version, conflict, and capture dependencies before presenting this branch as approved guidance."
TAX-SYNC,Application synchronization and manifest state,TAX-FORGE,12,KNO-FORGE-DELAYED-LOGIN-001;KNO-FORGE-DOWNLOAD-SYNC-001;KNO-FORGE-MANIFEST-PERMISSIONS-001;KNO-FORGE-MANIFEST-PREVIEW-001;KNO-FORGE-MANIFEST-SEARCH-001;KNO-FORGE-SYNC-QUEUE-001;KNO-PUP-DROPBOX-CONNECTION-001;KNO-PUP-DROPBOX-EARLY-LAST-001;KNO-PUP-DROPBOX-HOLIDAY-001;KNO-PUP-DROPBOX-SCHEDULE-001;KNO-PUP-DROPBOX-SERIAL-001;KNO-PUP-DROPBOX-SETTINGS-001,6,0,2,4,12,0,REFSRC-022;REFSRC-023,MGB-NAV-0022,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-VEHICLE-SAFETY,Vehicle safety and compliance,TAX-DOT,19,KNO-FORGE-DEVICE-ROAD-001;KNO-FORGE-EOD-001;KNO-FORGE-LOGIN-WARNING-001;KNO-LH-COUPLING-BASIC-001;KNO-LH-TRAILER-DOCK-PULL-001;KNO-QUAL-PD-ROADTEST-001;KNO-QUAL-VEHICLE-UPGRADE-001;KNO-SAF-DISTRACTION-001;KNO-SAF-HYDRATION-001;KNO-SAF-REDLIGHT-001;KNO-SAF-SIDESWIPE-001;KNO-SAF-SUMMER-TRAFFIC-001;KNO-SAF-SUN-EXPOSURE-001;KNO-SEC-FACILITY-VEHICLE-001;KNO-SEC-ROUTE-001;KNO-VEH-ALT-ONBOARD-001;KNO-VEH-ANNUAL-INSPECTION-001;KNO-VEH-CA-90DAY-INSPECTION-001;KNO-VEH-RENTAL-PREP-001,12,0,6,1,11,8,REFSRC-011;REFSRC-021;REFSRC-022;REFSRC-028;REFSRC-041;REFSRC-042,MGB-NAV-0022;MGB-NAV-0044;MGB-NAV-0047;MGB-NAV-0068;MGB-NAV-0070;MGB-NAV-0084;SRC-MGB-DOC-0038;SRC-MGB-DOC-0039;SRC-MGB-PAGE-0017;SRC-MGB-PAGE-0022,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-INSPECTION,Vehicle inspections and defect disposition,TAX-VEHICLE-SAFETY,2,KNO-VEH-ANNUAL-INSPECTION-001;KNO-VEH-CA-90DAY-INSPECTION-001,0,0,2,0,1,1,,MGB-NAV-0044;MGB-NAV-0068;MGB-NAV-0084;SRC-MGB-PAGE-0022,NO_VERIFIED_RECORDS,"The branch has mapped records, but none currently has VERIFIED status.","Resolve the listed source, authority, version, conflict, and capture dependencies before presenting this branch as approved guidance."
TAX-RENTAL-VEHICLE,Rental and temporary vehicles,TAX-VEHICLE-SAFETY;TAX-FORGE,1,KNO-VEH-RENTAL-PREP-001,0,0,1,0,1,0,,MGB-NAV-0047,NO_VERIFIED_RECORDS,"The branch has mapped records, but none currently has VERIFIED status.","Resolve the listed source, authority, version, conflict, and capture dependencies before presenting this branch as approved guidance."
TAX-ALTERNATIVE-VEHICLE,Alternative Vehicle approval and operation,TAX-VEHICLE-SAFETY,1,KNO-VEH-ALT-ONBOARD-001,1,0,0,0,1,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-LINEHAUL,Linehaul operations,,3,KNO-LH-COUPLING-BASIC-001;KNO-LH-CUSTOMER-TRAILER-SECURITY-001;KNO-LH-TRAILER-DOCK-PULL-001,2,0,1,0,2,1,REFSRC-021,SRC-MGB-PAGE-0017,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-COUPLING,Trailer and dolly coupling,TAX-LINEHAUL;TAX-VEHICLE-SAFETY,1,KNO-LH-COUPLING-BASIC-001,0,0,1,0,0,1,REFSRC-021,SRC-MGB-PAGE-0017,NO_VERIFIED_RECORDS,"The branch has mapped records, but none currently has VERIFIED status.","Resolve the listed source, authority, version, conflict, and capture dependencies before presenting this branch as approved guidance."
TAX-DOCK-PULL,Trailer dock-pull readiness and verification,TAX-LINEHAUL;TAX-VEHICLE-SAFETY,1,KNO-LH-TRAILER-DOCK-PULL-001,1,0,0,0,1,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-HEAT-SAFETY,Heat exposure and illness,TAX-INCIDENT,1,KNO-SAFETY-HEAT-ILLNESS-001,1,0,0,0,1,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-DRY-ICE,Dry ice transport and exposure,TAX-HAZMAT,1,KNO-HAZ-DRY-ICE-001,1,0,0,0,1,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-AUTHENTICATED-DELIVERY,FedEx Authenticated Delivery,TAX-DELIVERY,1,KNO-DEL-FAD-GROUND-001,0,0,0,1,1,0,,,NO_VERIFIED_RECORDS,"The branch has mapped records, but none currently has VERIFIED status.","Resolve the listed source, authority, version, conflict, and capture dependencies before presenting this branch as approved guidance."
TAX-APPEARANCE,Personnel identification and appearance,,1,KNO-CX-APPEARANCE-001,1,0,0,0,1,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-PUBLIC-COMMUNICATION,"Recording, media, and public communication",,1,KNO-COMMS-MEDIA-001,1,0,0,0,1,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-ANIMAL-SAFETY,Animal encounter and bite safety,TAX-INCIDENT,1,KNO-SAF-DOG-ENCOUNTER-001,1,0,0,0,0,1,,SRC-MGB-DOC-0011,ALL_RECORDS_VERIFIED_CAPTURE_OPEN,"Every mapped record is VERIFIED, but at least one record uses transient evidence requiring durable recapture.",Complete the listed authenticated recaptures and revalidate exact evidence locators before production evidence approval.
