page,section_or_subject,coverage_disposition,knowledge_ids,coverage_basis,required_follow_up
168,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-MERGE-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
169,"Combine, split, revisit, and merge stop workflows",KNOWLEDGE_MAPPED,KNO-FORGE-MERGE-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
170,Package and stop comments,KNOWLEDGE_MAPPED,KNO-FORGE-COMMENT-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
171,Package and stop comments,KNOWLEDGE_MAPPED,KNO-FORGE-COMMENT-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
172,Package and stop comments,KNOWLEDGE_MAPPED,KNO-FORGE-COMMENT-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
173,Package and stop comments,KNOWLEDGE_MAPPED,KNO-FORGE-COMMENT-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
174,Package and stop comments,KNOWLEDGE_MAPPED,KNO-FORGE-COMMENT-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
175,Package and stop comments,KNOWLEDGE_MAPPED,KNO-FORGE-COMMENT-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
176,Package and stop comments,KNOWLEDGE_MAPPED,KNO-FORGE-COMMENT-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
177,Package and stop comments,KNOWLEDGE_MAPPED,KNO-FORGE-COMMENT-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
178,"Manual barcode, address, scan deletion, and alternate signature",KNOWLEDGE_MAPPED,KNO-FORGE-MANUAL-BARCODE-001,Mapped to one or more operational knowledge records with exact source evidence.,
179,"Manual barcode, address, scan deletion, and alternate signature",KNOWLEDGE_MAPPED,KNO-FORGE-MANUAL-BARCODE-001,Mapped to one or more operational knowledge records with exact source evidence.,
180,"Manual barcode, address, scan deletion, and alternate signature",KNOWLEDGE_MAPPED,KNO-FORGE-MANUAL-BARCODE-001,Mapped to one or more operational knowledge records with exact source evidence.,
181,"Manual barcode, address, scan deletion, and alternate signature",KNOWLEDGE_MAPPED,KNO-FORGE-MANUAL-BARCODE-001,Mapped to one or more operational knowledge records with exact source evidence.,
182,"Manual barcode, address, scan deletion, and alternate signature",KNOWLEDGE_MAPPED,KNO-FORGE-EDIT-ADDRESS-001,Mapped to one or more operational knowledge records with exact source evidence.,
183,"Manual barcode, address, scan deletion, and alternate signature",KNOWLEDGE_MAPPED,KNO-FORGE-EDIT-ADDRESS-001,Mapped to one or more operational knowledge records with exact source evidence.,
184,"Manual barcode, address, scan deletion, and alternate signature",KNOWLEDGE_MAPPED,KNO-FORGE-EDIT-ADDRESS-001,Mapped to one or more operational knowledge records with exact source evidence.,
185,"Manual barcode, address, scan deletion, and alternate signature",KNOWLEDGE_MAPPED,KNO-FORGE-DELETE-SCAN-001,Mapped to one or more operational knowledge records with exact source evidence.,
186,"Manual barcode, address, scan deletion, and alternate signature",KNOWLEDGE_MAPPED,KNO-DEL-ALT-SIGNATURE-001,Mapped to one or more operational knowledge records with exact source evidence.,
187,"Manual barcode, address, scan deletion, and alternate signature",KNOWLEDGE_MAPPED,KNO-DEL-ALT-SIGNATURE-001,Mapped to one or more operational knowledge records with exact source evidence.,
188,"Manual barcode, address, scan deletion, and alternate signature",KNOWLEDGE_MAPPED,KNO-DEL-ALT-SIGNATURE-001,Mapped to one or more operational knowledge records with exact source evidence.,
189,"End of day, listing/manifest download, and refresh",KNOWLEDGE_MAPPED,KNO-FORGE-EOD-001,Mapped to one or more operational knowledge records with exact source evidence.,
190,"End of day, listing/manifest download, and refresh",KNOWLEDGE_MAPPED,KNO-FORGE-EOD-001,Mapped to one or more operational knowledge records with exact source evidence.,
191,"End of day, listing/manifest download, and refresh",KNOWLEDGE_MAPPED,KNO-FORGE-EOD-001,Mapped to one or more operational knowledge records with exact source evidence.,
192,"End of day, listing/manifest download, and refresh",KNOWLEDGE_MAPPED,KNO-FORGE-EOD-001,Mapped to one or more operational knowledge records with exact source evidence.,
193,"End of day, listing/manifest download, and refresh",KNOWLEDGE_MAPPED,KNO-FORGE-EOD-001,Mapped to one or more operational knowledge records with exact source evidence.,
194,"End of day, listing/manifest download, and refresh",KNOWLEDGE_MAPPED,KNO-FORGE-EOD-001,Mapped to one or more operational knowledge records with exact source evidence.,
195,"End of day, listing/manifest download, and refresh",KNOWLEDGE_MAPPED,KNO-FORGE-EOD-001,Mapped to one or more operational knowledge records with exact source evidence.,
196,"End of day, listing/manifest download, and refresh",KNOWLEDGE_MAPPED,KNO-FORGE-EOD-001,Mapped to one or more operational knowledge records with exact source evidence.,
197,"End of day, listing/manifest download, and refresh",KNOWLEDGE_MAPPED,KNO-FORGE-DOWNLOAD-SYNC-001,Mapped to one or more operational knowledge records with exact source evidence.,
198,"End of day, listing/manifest download, and refresh",KNOWLEDGE_MAPPED,KNO-FORGE-DOWNLOAD-SYNC-001,Mapped to one or more operational knowledge records with exact source evidence.,
199,"End of day, listing/manifest download, and refresh",KNOWLEDGE_MAPPED,KNO-FORGE-DOWNLOAD-SYNC-001,Mapped to one or more operational knowledge records with exact source evidence.,
200,"End of day, listing/manifest download, and refresh",KNOWLEDGE_MAPPED,KNO-FORGE-DOWNLOAD-SYNC-001,Mapped to one or more operational knowledge records with exact source evidence.,
201,"End of day, listing/manifest download, and refresh",KNOWLEDGE_MAPPED,KNO-FORGE-DOWNLOAD-SYNC-001,Mapped to one or more operational knowledge records with exact source evidence.,
202,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,Mapped to one or more operational knowledge records with exact source evidence.,
203,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,Mapped to one or more operational knowledge records with exact source evidence.,
204,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,Mapped to one or more operational knowledge records with exact source evidence.,
205,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,Mapped to one or more operational knowledge records with exact source evidence.,
206,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,Mapped to one or more operational knowledge records with exact source evidence.,
207,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,Mapped to one or more operational knowledge records with exact source evidence.,
208,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,Mapped to one or more operational knowledge records with exact source evidence.,
209,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,Mapped to one or more operational knowledge records with exact source evidence.,
210,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,Mapped to one or more operational knowledge records with exact source evidence.,
211,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,Mapped to one or more operational knowledge records with exact source evidence.,
212,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,Mapped to one or more operational knowledge records with exact source evidence.,
213,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-EARLY-LAST-001,Mapped to one or more operational knowledge records with exact source evidence.,
214,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-HOLIDAY-001,Mapped to one or more operational knowledge records with exact source evidence.,
215,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-HOLIDAY-001,Mapped to one or more operational knowledge records with exact source evidence.,
216,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-SETTINGS-001,Mapped to one or more operational knowledge records with exact source evidence.,
217,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-SETTINGS-001,Mapped to one or more operational knowledge records with exact source evidence.,
218,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-SETTINGS-001,Mapped to one or more operational knowledge records with exact source evidence.,
219,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-SETTINGS-001,Mapped to one or more operational knowledge records with exact source evidence.,
220,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-SETTINGS-001,Mapped to one or more operational knowledge records with exact source evidence.,
221,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-SETTINGS-001,Mapped to one or more operational knowledge records with exact source evidence.,
222,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-SETTINGS-001,Mapped to one or more operational knowledge records with exact source evidence.,
223,Drop-box connection and configuration,KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-SERIAL-001,Mapped to one or more operational knowledge records with exact source evidence.,
224,"Bulk transfer, vehicle change, DVIR, and synchronization",KNOWLEDGE_MAPPED,KNO-FORGE-BULK-TRANSFER-001,Mapped to one or more operational knowledge records with exact source evidence.,
225,"Bulk transfer, vehicle change, DVIR, and synchronization",KNOWLEDGE_MAPPED,KNO-FORGE-BULK-TRANSFER-001,Mapped to one or more operational knowledge records with exact source evidence.,
226,"Bulk transfer, vehicle change, DVIR, and synchronization",KNOWLEDGE_MAPPED,KNO-FORGE-BULK-TRANSFER-001,Mapped to one or more operational knowledge records with exact source evidence.,
227,"Bulk transfer, vehicle change, DVIR, and synchronization",KNOWLEDGE_MAPPED,KNO-FORGE-BULK-TRANSFER-001,Mapped to one or more operational knowledge records with exact source evidence.,
228,"Bulk transfer, vehicle change, DVIR, and synchronization",KNOWLEDGE_MAPPED,KNO-FORGE-BULK-TRANSFER-001,Mapped to one or more operational knowledge records with exact source evidence.,
229,"Bulk transfer, vehicle change, DVIR, and synchronization",KNOWLEDGE_MAPPED,KNO-FORGE-VEHICLE-CHANGE-001,Mapped to one or more operational knowledge records with exact source evidence.,
230,"Bulk transfer, vehicle change, DVIR, and synchronization",KNOWLEDGE_MAPPED,KNO-FORGE-VEHICLE-CHANGE-001,Mapped to one or more operational knowledge records with exact source evidence.,
231,"Bulk transfer, vehicle change, DVIR, and synchronization",KNOWLEDGE_MAPPED,KNO-FORGE-VEHICLE-CHANGE-001,Mapped to one or more operational knowledge records with exact source evidence.,
232,"Bulk transfer, vehicle change, DVIR, and synchronization",KNOWLEDGE_MAPPED,KNO-FORGE-SYNC-QUEUE-001,Mapped to one or more operational knowledge records with exact source evidence.,
233,"Camera scan, navigation, reminders, and messages",KNOWLEDGE_MAPPED,KNO-FORGE-CAMERA-SCAN-001,Mapped to one or more operational knowledge records with exact source evidence.,
234,"Camera scan, navigation, reminders, and messages",KNOWLEDGE_MAPPED,KNO-FORGE-CAMERA-SCAN-001,Mapped to one or more operational knowledge records with exact source evidence.,
235,"Camera scan, navigation, reminders, and messages",NAVIGATION_REFERENCE,,Shows map-entry buttons and icon meanings; does not establish routing or safe-driving policy.,
236,"Camera scan, navigation, reminders, and messages",KNOWLEDGE_MAPPED,KNO-FORGE-TIME-REMINDER-001,Mapped to one or more operational knowledge records with exact source evidence.,
237,"Camera scan, navigation, reminders, and messages",KNOWLEDGE_MAPPED,KNO-FORGE-MESSAGING-001,Mapped to one or more operational knowledge records with exact source evidence.,
238,"Camera scan, navigation, reminders, and messages",KNOWLEDGE_MAPPED,KNO-FORGE-MESSAGING-001,Mapped to one or more operational knowledge records with exact source evidence.,
239,"Camera scan, navigation, reminders, and messages",KNOWLEDGE_MAPPED,KNO-FORGE-BUSINESS-CLOSURE-MSG-001,Mapped to one or more operational knowledge records with exact source evidence.,
240,"Demo fixtures, validation warnings, and device information",DEMO_FIXTURE_REFERENCE,,Demonstration-login barcode fixtures only; not production package data or a procedure.,
241,"Demo fixtures, validation warnings, and device information",DEMO_FIXTURE_REFERENCE,,Demonstration pickup barcode fixtures only; not production package data or a procedure.,
242,"Demo fixtures, validation warnings, and device information",KNOWLEDGE_MAPPED,KNO-FORGE-MANUAL-BARCODE-001,Mapped to one or more operational knowledge records with exact source evidence.,
243,"Demo fixtures, validation warnings, and device information",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-WARNING-001,Mapped to one or more operational knowledge records with exact source evidence.,
244,"Demo fixtures, validation warnings, and device information",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-WARNING-001,Mapped to one or more operational knowledge records with exact source evidence.,
245,"Demo fixtures, validation warnings, and device information",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-WARNING-001,Mapped to one or more operational knowledge records with exact source evidence.,
246,"Demo fixtures, validation warnings, and device information",KNOWLEDGE_MAPPED,KNO-FORGE-DEVICE-INFO-001,Mapped to one or more operational knowledge records with exact source evidence.,
