queue_order,resource_type,resource_id,title,url,capture_wave,priority_basis,related_gap_ids,candidate_comparison_source_ids,affected_nonverified_knowledge_ids,affected_current_evidence_knowledge_ids,affected_taxonomy_ids,work_state,state_basis,capture_action,completion_gate
29,DURABLE_RECAPTURE_DOCUMENT,SRC-MGB-DOC-0038,Sideswipe Collisions,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SIDESWIPEVSM80326-ENG.ashx,WAVE_0_DURABLE_RECAPTURE,SOURCE_IS_FULLY_REVIEWED_BUT_HAS_NO_DURABLE_LOCAL_CAPTURE; preserve underlying evidence before lower-priority acquisition; existing authority status and mappings remain unchanged until reconciliation,,,,KNO-SAF-REDLIGHT-001;KNO-SAF-SIDESWIPE-001,TAX-DOT;TAX-VEHICLE-SAFETY,REVIEWED_DURABLE_CAPTURE_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=FULLY_REVIEWED;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_AND_RECONCILE_REVIEW_ARTIFACT,LOCAL_ARCHIVE_CHECKSUM_EXISTING_REVIEW_LOCATORS_RECONCILED_AND_SOURCE_STATUS_RECONFIRMED
30,DURABLE_RECAPTURE_DOCUMENT,SRC-MGB-DOC-0039,Summer Driving,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SUMMER-DRIVINGVSM072726ENGFINAL.ashx,WAVE_0_DURABLE_RECAPTURE,SOURCE_IS_FULLY_REVIEWED_BUT_HAS_NO_DURABLE_LOCAL_CAPTURE; preserve underlying evidence before lower-priority acquisition; existing authority status and mappings remain unchanged until reconciliation,,,,KNO-SAF-DISTRACTION-001;KNO-SAF-HYDRATION-001;KNO-SAF-SUMMER-TRAFFIC-001;KNO-SAF-SUN-EXPOSURE-001,TAX-DOT;TAX-VEHICLE-SAFETY,REVIEWED_DURABLE_CAPTURE_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=FULLY_REVIEWED;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_AND_RECONCILE_REVIEW_ARTIFACT,LOCAL_ARCHIVE_CHECKSUM_EXISTING_REVIEW_LOCATORS_RECONCILED_AND_SOURCE_STATUS_RECONFIRMED
31,DURABLE_RECAPTURE_PAGE,SRC-MGB-PAGE-0009,ISP Agreement,https://www.mygroundbiz.com/en/agreement/general-agreement-information/isp-agreement,WAVE_0_DURABLE_RECAPTURE,SOURCE_IS_FULLY_REVIEWED_BUT_HAS_NO_DURABLE_LOCAL_CAPTURE; preserve underlying evidence before lower-priority acquisition; existing authority status and mappings remain unchanged until reconciliation,,,,,,REVIEWED_DURABLE_CAPTURE_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=FULLY_REVIEWED;LOCAL_ARCHIVE_PATH=EMPTY,AUTHENTICATED_DURABLE_CAPTURE_COMPLETE_PAGE_AND_RECONCILE_REVIEW_ARTIFACT,DURABLE_PAGE_CAPTURE_EXISTING_REVIEW_LOCATORS_RECONCILED_AND_SOURCE_STATUS_RECONFIRMED
32,DURABLE_RECAPTURE_PAGE,SRC-MGB-PAGE-0012,Safety and Compliance Program Resources,https://www.mygroundbiz.com/en/safety/regulatory-compliance/safety-and-compliance-program-resources,WAVE_0_DURABLE_RECAPTURE,SOURCE_IS_FULLY_REVIEWED_BUT_HAS_NO_DURABLE_LOCAL_CAPTURE; preserve underlying evidence before lower-priority acquisition; existing authority status and mappings remain unchanged until reconciliation,,,,,,REVIEWED_DURABLE_CAPTURE_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=FULLY_REVIEWED;LOCAL_ARCHIVE_PATH=EMPTY,AUTHENTICATED_DURABLE_CAPTURE_COMPLETE_PAGE_AND_RECONCILE_REVIEW_ARTIFACT,DURABLE_PAGE_CAPTURE_EXISTING_REVIEW_LOCATORS_RECONCILED_AND_SOURCE_STATUS_RECONFIRMED
33,DURABLE_RECAPTURE_PAGE,SRC-MGB-PAGE-0013,Safety Topic Library,https://www.mygroundbiz.com/en/safety/safety-resources/safety-topic-library,WAVE_0_DURABLE_RECAPTURE,SOURCE_IS_FULLY_REVIEWED_BUT_HAS_NO_DURABLE_LOCAL_CAPTURE; preserve underlying evidence before lower-priority acquisition; existing authority status and mappings remain unchanged until reconciliation,,,,,,REVIEWED_DURABLE_CAPTURE_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=FULLY_REVIEWED;LOCAL_ARCHIVE_PATH=EMPTY,AUTHENTICATED_DURABLE_CAPTURE_COMPLETE_PAGE_AND_RECONCILE_REVIEW_ARTIFACT,DURABLE_PAGE_CAPTURE_EXISTING_REVIEW_LOCATORS_RECONCILED_AND_SOURCE_STATUS_RECONFIRMED
34,DURABLE_RECAPTURE_PAGE,SRC-MGB-PAGE-0017,Trailer and Dolly Coupling,https://www.mygroundbiz.com/en/vehicles-fuel/vehicle-regulations/trailer-and-dolly-coupling,WAVE_0_DURABLE_RECAPTURE,SOURCE_IS_FULLY_REVIEWED_BUT_HAS_NO_DURABLE_LOCAL_CAPTURE; preserve underlying evidence before lower-priority acquisition; existing authority status and mappings remain unchanged until reconciliation,,,,KNO-LH-COUPLING-BASIC-001,TAX-COUPLING;TAX-DOT;TAX-LINEHAUL;TAX-VEHICLE-SAFETY,REVIEWED_DURABLE_CAPTURE_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=FULLY_REVIEWED;LOCAL_ARCHIVE_PATH=EMPTY,AUTHENTICATED_DURABLE_CAPTURE_COMPLETE_PAGE_AND_RECONCILE_REVIEW_ARTIFACT,DURABLE_PAGE_CAPTURE_EXISTING_REVIEW_LOCATORS_RECONCILED_AND_SOURCE_STATUS_RECONFIRMED
35,DURABLE_RECAPTURE_PAGE,SRC-MGB-PAGE-0022,California P&D 90-Day Periodic Inspections,https://www.mygroundbiz.com/en/vehicles-fuel/state-regulations/pd-90-day-periodic-inspections,WAVE_0_DURABLE_RECAPTURE,SOURCE_IS_FULLY_REVIEWED_BUT_HAS_NO_DURABLE_LOCAL_CAPTURE; preserve underlying evidence before lower-priority acquisition; existing authority status and mappings remain unchanged until reconciliation,,,,KNO-VEH-CA-90DAY-INSPECTION-001,TAX-DOT;TAX-INSPECTION;TAX-VEHICLE-SAFETY,REVIEWED_DURABLE_CAPTURE_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=FULLY_REVIEWED;LOCAL_ARCHIVE_PATH=EMPTY,AUTHENTICATED_DURABLE_CAPTURE_COMPLETE_PAGE_AND_RECONCILE_REVIEW_ARTIFACT,DURABLE_PAGE_CAPTURE_EXISTING_REVIEW_LOCATORS_RECONCILED_AND_SOURCE_STATUS_RECONFIRMED
36,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0003,Changing lanes,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/CHANGING-LANESVSM072026ENGFINAL.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
37,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0004,Aggressive driving,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/AGGRESSIVE-DRIVINGVSM071326ENG.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
38,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0005,Speed | Ops Safe Driver Week,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SPEEDVSM070626-FINAL.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
39,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0006,Summer holidays and traffic,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Summer-and-Holiday-Traffic-VSM-062926ENG.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
40,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0007,Summer adverse weather,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SUMMER-ADVERSE-WEATHERVSM62226ENG.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
41,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0008,Work zone awareness,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Work-Zone-AwarenessVSM061526ENFINAL.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
42,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0009,Cognitive distraction,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/COGNITIVE-DISTRACTION-VSM-060925ENG.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
43,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0010,Summer and seat belts,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Summer-SafetySeat-BeltsVSM060126FINAL.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
44,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0011,Fog,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/FOGVSM52526ENG-FINAL.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
45,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0012,Motorcycle awareness,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/MOTORCYCLE-AWARENESSENGVSM051826FINAL.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
46,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0013,Road Rage De-escalation,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Road-Rage-DeEscalationSafetyTopic51126ENGFINAL.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
47,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0014,CVSA international roadcheck,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/CVSA-Intl-Roadcheck-050426VSMENGFINAL.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
48,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0015,Rear-end collisions,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Rear-End-Collisions-4_27_26_EN.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
49,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0016,Backing,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/BACKING-PDVSM042026EN.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
50,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0017,Wildlife Awareness,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/WILDLIFE-AWARENESSVSM042026EN.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
51,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0018,Work zone awareness,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Work-Zone-AwarenessVSM041326EN.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
52,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0020,Rollovers,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/ROLLOVERSLHVSM040626EN.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
53,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0021,Distracted driving,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Distracted-DrivingVSM33026ENG.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
54,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0022,Changing lanes,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/CHANGING-LANESVSM032326ENGFINAL.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
55,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0023,Seat belts,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SEAT-BELTSVSM03162026ENG.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
56,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0024,Driving drowsy,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/DROWSY-DRIVINGVSM392026ENG.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
57,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0025,Driving in fog,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/FOGVSM3226ENG-FINAL.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
58,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0026,Speed,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SPEEDVSM22326ENG.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
59,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0027,Railroad intersections,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/PD-RAILROAD-SAFETY-INTERSECTIONSVSM022326ENG.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
60,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0028,Human trafficking awareness,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Human-Trafficking-VSM21626ENG.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
61,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0029,Aggressive driving,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/AGGRESSIVE-DRIVINGVSM020926ENG.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
62,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0030,Work Zone Awareness,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Work-Zone-AwarenessVSM020826EN.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
63,SAFETY_DOCUMENT,MGB-SAFETY-TOPIC-0031,Large packages,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Large-PackagesPDVSM012626ENGFINAL.ashx,WAVE_1_DIRECT_DOCUMENT_ACQUISITION,DIRECT_DOCUMENT_URL_CAPTURED_FROM_EXPANDED_LIBRARY; acquire while authentication is live; title is discovery metadata only,,,,,,UNACQUIRED_OPEN,SAFETY_BACKLOG_STATUS=OPEN;SOURCE_INVENTORY_STATUS=NOT_CREATED,DOWNLOAD_ARCHIVE_HASH_AND_RECORD_PAGE_COUNT,PRIMARY_SOURCE_ROW_CHECKSUM_COMPLETE_PAGE_REVIEW_AND_REFERENCE_INVENTORY
